Perm ID,Grade
1074851,12
1003052,12
906257,12
897317,12
897862,12
1086341,12
921013,12
897506,12
899711,12
1037825,12
1004920,12
1015333,12
920860,12
897304,12
1014960,12
1107794,12
1046752,12
1014135,12
1015258,12
918764,12
1001578,12
1080409,12
920970,12
896670,12
1060079,12
895957,12
897503,12
897516,12
1055701,12
897694,12
895980,12
914649,12
921018,12
1031938,12
1018677,12
1011969,12
1108178,12
897142,12
1006077,12
1097253,12
1065032,12
897096,12
1111231,12
1078049,12
1094254,12
1032912,12
900659,12
1003811,12
920060,12
896758,12
1056618,12
918635,12
1001498,12
1107465,12
1076306,12
878895,12
1013085,12
1013937,12
915742,12
1099314,12
912737,12
1025119,12
1083758,12
1027163,12
1048996,12
1083879,12
1033320,12
921088,12
1001241,12
897220,12
921136,12
1046361,12
905745,12
1106428,12
897932,12
897956,12
1052147,12
921150,12
921176,12
896093,12
1026495,12
1106368,12
903106,12
903452,12
1022238,12
1107581,12
1107122,12
1098025,12
1021745,12
1014838,12
897147,12
1069149,12
1066574,12
1004289,12
897993,12
1013411,12
1066517,12
1066518,12
1068513,12
1086271,12
1086331,12
900393,12
902985,12
1014372,12
1094779,12
1005215,12
921268,12
900610,12
903625,12
848471,12
899286,12
900621,12
1022625,12
921491,12
1026938,12
921477,12
1048995,12
1038054,12
1093856,12
898238,12
1002460,12
898533,12
921240,12
880702,12
1065483,12
1107737,12
1045176,12
1087373,12
1098783,12
1047376,12
1080359,12
1073885,12
847715,12
897707,12
1046311,12
898010,12
1059117,12
904523,12
1057507,12
1024603,12
897816,12
1005295,12
921243,12
879589,12
898316,12
896715,12
897515,12
1001641,12
